Title,Audience-Score,Critic-Score,Revenue,Release-Date,Year,Film-Rating,Director,Genre,Runtime,month,season,Decade
Piglet's Big Movie,64,71,,2003-03-21,2003.0,G,Francis Glebas,"['Kids & Family', 'Adventure', 'Animation']",75,3.0,Spring,2000.0
Ghosts of the Abyss,67,80,17000000,2003-03-31,2003.0,G,James Cameron,['Documentary'],60,3.0,Spring,2000.0
Holes,76,78,67300000,2003-04-18,2003.0,PG,Andrew Davis,"['Kids & Family', 'Adventure']",118,4.0,Spring,2000.0
The Lizzie McGuire Movie,49,40,42700000,2003-05-02,2003.0,PG,Jim Fall,"['Kids & Family', 'Comedy']",93,5.0,Spring,2000.0
Finding Nemo,86,99,,2003-05-30,2003.0,G,Andrew Stanton,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",100,5.0,Spring,2000.0
Pirates of the Caribbean: The Curse of the Black Pearl,86,79,305400000,2003-07-09,2003.0,PG-13,Gore Verbinski,"['Adventure', 'Action', 'Fantasy']",143,7.0,Summer,2000.0
Stitch! The Movie,50,20,,,,G,Tony Craig,"['Kids & Family', 'Comedy', 'Animation']",64,,,
George of the Jungle 2,20,17,,,,PG,David Grossman,"['Kids & Family', 'Comedy']",86,,,
Brother Bear,66,38,85300000,2003-11-01,2003.0,G,Aaron Blaise,"['Kids & Family', 'Adventure', 'Animation']",85,11.0,Fall,2000.0
The Haunted Mansion,31,14,75800000,2003-11-26,2003.0,PG,Rob Minkoff,"['Kids & Family', 'Comedy', 'Fantasy']",88,11.0,Fall,2000.0
Young Black Stallion,66,44,6800000,,,G,Simon Wincer,"['Kids & Family', 'Adventure', 'Drama']",45,,,
Teacher's Pet,,,,,,,Alana Avallone,"['Mystery & Thriller', 'Animation']",,,,
Miracle,90,80,64400000,2004-02-02,2004.0,PG,Gavin O'Connor,['Drama'],135,2.0,Winter,2000.0
The Lion King 1 1/2,62,76,,2004-02-10,2004.0,G,Bradley Raymond,"['Kids & Family', 'Adventure', 'Animation']",76,2.0,Winter,2000.0
Confessions of a Teenage Drama Queen,35,13,29300000,2004-02-17,2004.0,PG,Sara Sugarman,"['Kids & Family', 'Comedy']",89,2.0,Winter,2000.0
Winnie the Pooh: Springtime With Roo,64,,,,,G,Saul Blinkoff,"['Kids & Family', 'Holiday', 'Comedy', 'Animation']",65,,,
Home on the Range,30,51,,2004-03-21,2004.0,PG,Will Finn,"['Kids & Family', 'Comedy', 'Animation']",75,3.0,Spring,2000.0
Sacred Planet,56,58,,,,G,Jon Long,['Documentary'],46,,,
Around the World in 80 Days,34,33,24000000,2004-06-16,2004.0,PG,Frank Coraci,"['Adventure', 'Comedy']",119,6.0,Summer,2000.0
America's Heart and Soul,46,49,314000,2004-05-01,2004.0,PG,Louie Schwartzberg,['Documentary'],88,5.0,Spring,2000.0
The Princess Diaries 2: Royal Engagement,59,25,95100000,2004-08-11,2004.0,G,Garry Marshall,"['Kids & Family', 'Romance', 'Comedy']",113,8.0,Summer,2000.0
The Three Musketeers,53,42,,,,G,Donovan Cook,"['Kids & Family', 'Adventure', 'Animation']",68,,,
The Incredibles,75,97,261400000,2004-11-05,2004.0,PG,Brad Bird,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",115,11.0,Fall,2000.0
Mickey's Twice Upon a Christmas,61,,,,,G,Matthew O'Callaghan,"['Kids & Family', 'Holiday', 'Fantasy', 'Animation']",68,,,
National Treasure,76,47,173000000,2004-11-19,2004.0,PG,Jon Turteltaub,"['Adventure', 'Action']",130,11.0,Fall,2000.0
Aliens of the Deep,49,84,9000000,,,G,James Cameron,['Documentary'],47,,,
Mulan II,43,0,,,,G,Darrell Rooney,"['Kids & Family', 'Adventure', 'Animation']",79,,,
Pooh's Heffalump Movie,68,80,,2005-02-11,2005.0,G,Frank Nissen,"['Kids & Family', 'Adventure', 'Animation']",68,2.0,Winter,2000.0
The Pacifier,58,21,113000000,2005-03-04,2005.0,PG,Adam Shankman,"['Kids & Family', 'Comedy']",95,3.0,Spring,2000.0
Ice Princess,58,52,24400000,2005-03-18,2005.0,G,Tim Fywell,"['Kids & Family', 'Comedy', 'Drama']",98,3.0,Spring,2000.0
Tarzan II,37,33,,,,G,Brian Smith,"['Kids & Family', 'Adventure', 'Animation']",72,,,
Herbie: Fully Loaded,39,40,66000000,2005-06-22,2005.0,G,Angela Robinson,"['Kids & Family', 'Comedy']",100,6.0,Summer,2000.0
Howl's Moving Castle,93,88,4700000,2005-06-10,2005.0,PG,Hayao Miyazaki,"['Fantasy', 'Anime']",119,6.0,Summer,2000.0
Sky High,45,,,,,,Lynn F. Reynolds,['Western'],72,,,
Valiant,29,32,19500000,2005-08-19,2005.0,G,Gary Chapman,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",75,8.0,Summer,2000.0
Lilo & Stitch 2: Stitch Has a Glitch,56,42,,,,PG,Michael LaBash,"['Kids & Family', 'Comedy', 'Animation']",68,,,
Pooh's Heffalump Halloween Movie,,,,,,G,,"['Kids & Family', 'Holiday', 'Adventure', 'Animation']",67,,,
The Greatest Game Ever Played,82,62,15300000,2005-09-30,2005.0,PG,Bill Paxton,['Drama'],115,9.0,Fall,2000.0
Chicken Little,47,36,,2005-11-04,2005.0,G,Mark Dindal,"['Kids & Family', 'Comedy', 'Animation']",81,11.0,Fall,2000.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",61,76,291700000,2005-12-09,2005.0,PG,Andrew Adamson,"['Kids & Family', 'Fantasy', 'Adventure']",140,12.0,Winter,2000.0
Kronk's New Groove,45,0,,,,G,Saul Blinkoff,"['Kids & Family', 'Comedy', 'Animation']",72,,,
Glory Road,81,55,42600000,2006-01-13,2006.0,PG,James Gartner,['Drama'],117,1.0,Winter,2000.0
Roving Mars,77,70,10400000,2006-01-27,2006.0,G,George Butler,['Documentary'],40,1.0,Winter,2000.0
Bambi II,60,44,,,,G,Brian Pimental,"['Kids & Family', 'Drama', 'Animation']",72,,,
Eight Below,78,73,81600000,2006-02-17,2006.0,PG,Frank Marshall,"['Kids & Family', 'Adventure', 'Drama']",120,2.0,Winter,2000.0
